village_id_key,village_name,post_id
uuid:394adae2-695c-4383-af07-3cc7850b63ec,Begaja,PA070202
uuid:e7b3d002-d9bb-410a-be00-0ba4165d32c5,Bopira,PA070201
uuid:2f169d0f-1123-4ee8-adfa-ffbee1cee306,Buini,PA070201
uuid:981b0b9e-e73c-4488-acd7-aad0de769c31,B̢ndua Regulo,PA070201
uuid:aa8382cb-4d11-4139-b720-078024a801ee,COMUNIDADE DE  NDEJA,PA071302
uuid:d6131ff9-d1ee-4444-87bd-be1b28763c38,Chindo,PA070201
uuid:e4f9ac66-3ce9-4bb1-a81d-34b9b92e06ad,Estaquinha Sede,PA070202
uuid:43403c8d-9ff1-4403-b031-abdd8d26eefe,Guarra guarra Sede,PA070201
uuid:a77f7136-6c22-4df0-85bf-fd3a09076a00,Inhamita,PA070201
uuid:1c2f06cc-ba15-46f5-b0b6-233387d4bdd7,Inhanjou,PA070202
uuid:2e8c1157-fd2c-476e-ae66-c778ef858a29,Jhone Segredo,PA071302
uuid:1ae06f65-af0e-4551-9bb0-75b1d42f4fb5,Mabida,PA070201
uuid:b070e94f-045f-4cdd-9d73-2d219fdb092c,Machiquile,PA070201
uuid:44383a90-7fce-4044-9f57-5e49723340bc,Manheche,PA070201
uuid:c72f4d23-9451-432b-9df5-aaf4c6ec9423,Maxemedje Sede,PA070202
uuid:1382ea34-af79-4f5a-920f-fb97888256b6,Metuchira _Sede,PA071301
uuid:e49a1d95-a1c1-48af-86d6-0931f45da157,Mussinemue,PA070201
uuid:cd5dc265-900b-448c-8495-d261cd9172b3,Nhabziconja,PA070201
uuid:57534f32-b396-44ca-aced-a751592e9eab,Pavo,PA070201
